Cancer Sites,Year,States,Count
All Invasive Cancer Sites Combined,2009,Colorado,21733
All Invasive Cancer Sites Combined,2009,Connecticut,21237
All Invasive Cancer Sites Combined,2009,Delaware,5344
All Invasive Cancer Sites Combined,2009,District of Columbia,2863
All Invasive Cancer Sites Combined,2009,Florida,113534
All Invasive Cancer Sites Combined,2009,Georgia,44085
All Invasive Cancer Sites Combined,2009,Hawaii,6806
All Invasive Cancer Sites Combined,2009,Idaho,7409
All Invasive Cancer Sites Combined,2009,Illinois,67050
All Invasive Cancer Sites Combined,2009,Indiana,32829
All Invasive Cancer Sites Combined,2009,Iowa,17654
All Invasive Cancer Sites Combined,2009,Kansas,14546
All Invasive Cancer Sites Combined,2009,Kentucky,25009
All Invasive Cancer Sites Combined,2009,Louisiana,23827
All Invasive Cancer Sites Combined,2009,Maine,8405
All Invasive Cancer Sites Combined,2009,Maryland,28656
All Invasive Cancer Sites Combined,2009,Massachusetts,37016
All Invasive Cancer Sites Combined,2009,Michigan,55675
All Invasive Cancer Sites Combined,2009,Minnesota,27011
All Invasive Cancer Sites Combined,2009,Mississippi,15141
All Invasive Cancer Sites Combined,2009,Missouri,32073
All Invasive Cancer Sites Combined,2009,Montana,5671
All Invasive Cancer Sites Combined,2009,Nebraska,9059
All Invasive Cancer Sites Combined,2009,Nevada,12470
All Invasive Cancer Sites Combined,2009,New Hampshire,7744
All Invasive Cancer Sites Combined,2009,New Jersey,50124
All Invasive Cancer Sites Combined,2009,New Mexico,9145
All Invasive Cancer Sites Combined,2009,New York,109445
All Invasive Cancer Sites Combined,2009,North Carolina,50606
All Invasive Cancer Sites Combined,2009,North Dakota,3507
All Invasive Cancer Sites Combined,2009,Ohio,64146
All Invasive Cancer Sites Combined,2009,Oklahoma,19079
All Invasive Cancer Sites Combined,2009,Oregon,20000
All Invasive Cancer Sites Combined,2009,Pennsylvania,78241
All Invasive Cancer Sites Combined,2009,Rhode Island,6376
All Invasive Cancer Sites Combined,2009,South Carolina,24121
All Invasive Cancer Sites Combined,2009,South Dakota,4313
All Invasive Cancer Sites Combined,2009,Tennessee,34302
All Invasive Cancer Sites Combined,2009,Texas,101849
All Invasive Cancer Sites Combined,2009,Utah,9163
All Invasive Cancer Sites Combined,2009,Vermont,3735
All Invasive Cancer Sites Combined,2009,Virginia,38105
All Invasive Cancer Sites Combined,2009,Washington,34433
All Invasive Cancer Sites Combined,2009,West Virginia,11487
All Invasive Cancer Sites Combined,2009,Wisconsin,30410
All Invasive Cancer Sites Combined,2009,Wyoming,2539
All Invasive Cancer Sites Combined,2010,Alabama,25382
All Invasive Cancer Sites Combined,2010,Alaska,2853
All Invasive Cancer Sites Combined,2010,Arizona,28746
All Invasive Cancer Sites Combined,2010,Arkansas,14507
All Invasive Cancer Sites Combined,2010,California,162698
All Invasive Cancer Sites Combined,2010,Colorado,21536
All Invasive Cancer Sites Combined,2010,Connecticut,20978
All Invasive Cancer Sites Combined,2010,Delaware,5341
All Invasive Cancer Sites Combined,2010,District of Columbia,2967
All Invasive Cancer Sites Combined,2010,Florida,115358
All Invasive Cancer Sites Combined,2010,Georgia,43574
All Invasive Cancer Sites Combined,2010,Hawaii,6750
All Invasive Cancer Sites Combined,2010,Idaho,7490
All Invasive Cancer Sites Combined,2010,Illinois,65824
All Invasive Cancer Sites Combined,2010,Indiana,32972
All Invasive Cancer Sites Combined,2010,Iowa,17606
All Invasive Cancer Sites Combined,2010,Kansas,14548
All Invasive Cancer Sites Combined,2010,Kentucky,25578
All Invasive Cancer Sites Combined,2010,Louisiana,23909
All Invasive Cancer Sites Combined,2010,Maine,8447
All Invasive Cancer Sites Combined,2010,Maryland,28999
All Invasive Cancer Sites Combined,2010,Massachusetts,35771
All Invasive Cancer Sites Combined,2010,Michigan,55953
All Invasive Cancer Sites Combined,2010,Minnesota,27262
All Invasive Cancer Sites Combined,2010,Mississippi,15581
All Invasive Cancer Sites Combined,2010,Missouri,31272
All Invasive Cancer Sites Combined,2010,Montana,5701
All Invasive Cancer Sites Combined,2010,Nebraska,9422
All Invasive Cancer Sites Combined,2010,Nevada,12070
All Invasive Cancer Sites Combined,2010,New Hampshire,7859
All Invasive Cancer Sites Combined,2010,New Jersey,49707
All Invasive Cancer Sites Combined,2010,New Mexico,9115
All Invasive Cancer Sites Combined,2010,New York,107365
All Invasive Cancer Sites Combined,2010,North Carolina,50659
All Invasive Cancer Sites Combined,2010,North Dakota,3616
All Invasive Cancer Sites Combined,2010,Ohio,62205
All Invasive Cancer Sites Combined,2010,Oklahoma,18791
All Invasive Cancer Sites Combined,2010,Oregon,19884
All Invasive Cancer Sites Combined,2010,Pennsylvania,78780
All Invasive Cancer Sites Combined,2010,Rhode Island,6086
All Invasive Cancer Sites Combined,2010,South Carolina,24964
All Invasive Cancer Sites Combined,2010,South Dakota,4270
All Invasive Cancer Sites Combined,2010,Tennessee,34231
All Invasive Cancer Sites Combined,2010,Texas,100974
All Invasive Cancer Sites Combined,2010,Utah,9550
All Invasive Cancer Sites Combined,2010,Vermont,3692
All Invasive Cancer Sites Combined,2010,Virginia,36757
All Invasive Cancer Sites Combined,2010,Washington,34715
All Invasive Cancer Sites Combined,2010,West Virginia,11382
All Invasive Cancer Sites Combined,2010,Wisconsin,30860
All Invasive Cancer Sites Combined,2010,Wyoming,2664
All Invasive Cancer Sites Combined,2011,Alabama,25281
All Invasive Cancer Sites Combined,2011,Alaska,2801
All Invasive Cancer Sites Combined,2011,Arizona,29611
All Invasive Cancer Sites Combined,2011,Arkansas,14476
All Invasive Cancer Sites Combined,2011,California,163020
All Invasive Cancer Sites Combined,2011,Colorado,21909
All Invasive Cancer Sites Combined,2011,Connecticut,20927
All Invasive Cancer Sites Combined,2011,Delaware,5530
All Invasive Cancer Sites Combined,2011,District of Columbia,3154
All Invasive Cancer Sites Combined,2011,Florida,122438
All Invasive Cancer Sites Combined,2011,Georgia,45433
All Invasive Cancer Sites Combined,2011,Hawaii,6823
All Invasive Cancer Sites Combined,2011,Idaho,7630
All Invasive Cancer Sites Combined,2011,Illinois,67218
All Invasive Cancer Sites Combined,2011,Indiana,33549
All Invasive Cancer Sites Combined,2011,Iowa,17657
All Invasive Cancer Sites Combined,2011,Kansas,14973
All Invasive Cancer Sites Combined,2011,Kentucky,25854
All Invasive Cancer Sites Combined,2011,Louisiana,24444
All Invasive Cancer Sites Combined,2011,Maine,8423
All Invasive Cancer Sites Combined,2011,Maryland,29262
All Invasive Cancer Sites Combined,2011,Massachusetts,36975
All Invasive Cancer Sites Combined,2011,Michigan,56993
All Invasive Cancer Sites Combined,2011,Minnesota,28164
All Invasive Cancer Sites Combined,2011,Mississippi,15542
All Invasive Cancer Sites Combined,2011,Missouri,32528
All Invasive Cancer Sites Combined,2011,Montana,5844
All Invasive Cancer Sites Combined,2011,Nebraska,9434
All Invasive Cancer Sites Combined,2011,Nevada,12390
All Invasive Cancer Sites Combined,2011,New Hampshire,8144
All Invasive Cancer Sites Combined,2011,New Jersey,50741
All Invasive Cancer Sites Combined,2011,New Mexico,8995
All Invasive Cancer Sites Combined,2011,New York,111455
All Invasive Cancer Sites Combined,2011,North Carolina,51805
All Invasive Cancer Sites Combined,2011,North Dakota,3770
All Invasive Cancer Sites Combined,2011,Ohio,63973
All Invasive Cancer Sites Combined,2011,Oklahoma,19054
All Invasive Cancer Sites Combined,2011,Oregon,20872
All Invasive Cancer Sites Combined,2011,Pennsylvania,80477
All Invasive Cancer Sites Combined,2011,Rhode Island,6230
All Invasive Cancer Sites Combined,2011,South Carolina,25208
All Invasive Cancer Sites Combined,2011,South Dakota,4568
All Invasive Cancer Sites Combined,2011,Tennessee,34819
All Invasive Cancer Sites Combined,2011,Texas,102527
All Invasive Cancer Sites Combined,2011,Utah,9810
All Invasive Cancer Sites Combined,2011,Vermont,3689
All Invasive Cancer Sites Combined,2011,Virginia,37720
All Invasive Cancer Sites Combined,2011,Washington,35342
All Invasive Cancer Sites Combined,2011,West Virginia,11859
All Invasive Cancer Sites Combined,2011,Wisconsin,31983
All Invasive Cancer Sites Combined,2011,Wyoming,2705
All Invasive Cancer Sites Combined,2012,Alabama,25544
All Invasive Cancer Sites Combined,2012,Alaska,2778
All Invasive Cancer Sites Combined,2012,Arizona,29417
All Invasive Cancer Sites Combined,2012,Arkansas,14855
All Invasive Cancer Sites Combined,2012,California,163410
All Invasive Cancer Sites Combined,2012,Colorado,22118
All Invasive Cancer Sites Combined,2012,Connecticut,20928
All Invasive Cancer Sites Combined,2012,Delaware,5553
All Invasive Cancer Sites Combined,2012,District of Columbia,3045
All Invasive Cancer Sites Combined,2012,Florida,119742
All Invasive Cancer Sites Combined,2012,Georgia,46869
All Invasive Cancer Sites Combined,2012,Hawaii,6884
All Invasive Cancer Sites Combined,2012,Idaho,7643
All Invasive Cancer Sites Combined,2012,Illinois,66197
All Invasive Cancer Sites Combined,2012,Indiana,33726
All Invasive Cancer Sites Combined,2012,Iowa,17367
All Invasive Cancer Sites Combined,2012,Kansas,14954
All Invasive Cancer Sites Combined,2012,Kentucky,26441
All Invasive Cancer Sites Combined,2012,Louisiana,24509
All Invasive Cancer Sites Combined,2012,Maine,8592
All Invasive Cancer Sites Combined,2012,Maryland,29216
All Invasive Cancer Sites Combined,2012,Massachusetts,36364
All Invasive Cancer Sites Combined,2012,Michigan,55212
All Invasive Cancer Sites Combined,2012,Minnesota,28166
All Invasive Cancer Sites Combined,2012,Mississippi,15614
All Invasive Cancer Sites Combined,2012,Missouri,32459
All Invasive Cancer Sites Combined,2012,Montana,5640
All Invasive Cancer Sites Combined,2012,Nebraska,9316
All Invasive Cancer Sites Combined,2012,Nevada,12188
All Invasive Cancer Sites Combined,2012,New Hampshire,7911
All Invasive Cancer Sites Combined,2012,New Jersey,50187
All Invasive Cancer Sites Combined,2012,New Mexico,8986
All Invasive Cancer Sites Combined,2012,New York,108664
All Invasive Cancer Sites Combined,2012,North Carolina,51388
All Invasive Cancer Sites Combined,2012,North Dakota,3788
All Invasive Cancer Sites Combined,2012,Ohio,62728
All Invasive Cancer Sites Combined,2012,Oklahoma,19315
All Invasive Cancer Sites Combined,2012,Oregon,20449
All Invasive Cancer Sites Combined,2012,Pennsylvania,77963
All Invasive Cancer Sites Combined,2012,Rhode Island,6385
All Invasive Cancer Sites Combined,2012,South Carolina,25908
All Invasive Cancer Sites Combined,2012,South Dakota,4401
All Invasive Cancer Sites Combined,2012,Tennessee,34961
All Invasive Cancer Sites Combined,2012,Texas,104436
All Invasive Cancer Sites Combined,2012,Utah,9809
All Invasive Cancer Sites Combined,2012,Vermont,3662
All Invasive Cancer Sites Combined,2012,Virginia,37540
All Invasive Cancer Sites Combined,2012,Washington,35313
All Invasive Cancer Sites Combined,2012,West Virginia,11640
All Invasive Cancer Sites Combined,2012,Wisconsin,31434
All Invasive Cancer Sites Combined,2012,Wyoming,2542
All Invasive Cancer Sites Combined,2013,Alabama,25686
All Invasive Cancer Sites Combined,2013,Alaska,2812
All Invasive Cancer Sites Combined,2013,Arizona,30339
All Invasive Cancer Sites Combined,2013,Arkansas,15513
All Invasive Cancer Sites Combined,2013,California,164919
All Invasive Cancer Sites Combined,2013,Colorado,22514
All Invasive Cancer Sites Combined,2013,Connecticut,20929
All Invasive Cancer Sites Combined,2013,Delaware,5840
All Invasive Cancer Sites Combined,2013,District of Columbia,2836
All Invasive Cancer Sites Combined,2013,Florida,128446
All Invasive Cancer Sites Combined,2013,Georgia,47332
All Invasive Cancer Sites Combined,2013,Hawaii,7149
All Invasive Cancer Sites Combined,2013,Idaho,7580
All Invasive Cancer Sites Combined,2013,Illinois,66858
All Invasive Cancer Sites Combined,2013,Indiana,34257
All Invasive Cancer Sites Combined,2013,Iowa,17411
All Invasive Cancer Sites Combined,2013,Kansas,14769
All Invasive Cancer Sites Combined,2013,Kentucky,26636
All Invasive Cancer Sites Combined,2013,Louisiana,24586
All Invasive Cancer Sites Combined,2013,Maine,8536
All Invasive Cancer Sites Combined,2013,Maryland,30647
All Invasive Cancer Sites Combined,2013,Massachusetts,36439
All Invasive Cancer Sites Combined,2013,Michigan,54509
All Invasive Cancer Sites Combined,2013,Minnesota,28249
All Invasive Cancer Sites Combined,2013,Mississippi,15853
All Invasive Cancer Sites Combined,2013,Missouri,32012
All Invasive Cancer Sites Combined,2013,Montana,5780
All Invasive Cancer Sites Combined,2013,Nebraska,9567
All Invasive Cancer Sites Combined,2013,Nevada,12558
All Invasive Cancer Sites Combined,2013,New Hampshire,8223
All Invasive Cancer Sites Combined,2013,New Jersey,51269
All Invasive Cancer Sites Combined,2013,New Mexico,9159
All Invasive Cancer Sites Combined,2013,New York,112415
All Invasive Cancer Sites Combined,2013,North Carolina,53328
All Invasive Cancer Sites Combined,2013,North Dakota,3663
All Invasive Cancer Sites Combined,2013,Ohio,64532
All Invasive Cancer Sites Combined,2013,Oklahoma,19566
All Invasive Cancer Sites Combined,2013,Oregon,21356
All Invasive Cancer Sites Combined,2013,Pennsylvania,79519
All Invasive Cancer Sites Combined,2013,Rhode Island,6383
All Invasive Cancer Sites Combined,2013,South Carolina,26165
All Invasive Cancer Sites Combined,2013,South Dakota,4624
All Invasive Cancer Sites Combined,2013,Tennessee,35294
All Invasive Cancer Sites Combined,2013,Texas,106513
All Invasive Cancer Sites Combined,2013,Utah,9845
All Invasive Cancer Sites Combined,2013,Vermont,3640
All Invasive Cancer Sites Combined,2013,Virginia,39129
All Invasive Cancer Sites Combined,2013,Washington,35525
All Invasive Cancer Sites Combined,2013,West Virginia,11811
All Invasive Cancer Sites Combined,2013,Wisconsin,31970
All Invasive Cancer Sites Combined,2013,Wyoming,2554
All Invasive Cancer Sites Combined,2014,Alabama,25704
All Invasive Cancer Sites Combined,2014,Alaska,2868
All Invasive Cancer Sites Combined,2014,Arizona,31675
All Invasive Cancer Sites Combined,2014,Arkansas,15847
All Invasive Cancer Sites Combined,2014,California,167869
All Invasive Cancer Sites Combined,2014,Colorado,22938
All Invasive Cancer Sites Combined,2014,Connecticut,20833
All Invasive Cancer Sites Combined,2014,Delaware,5790
All Invasive Cancer Sites Combined,2014,District of Columbia,2929
All Invasive Cancer Sites Combined,2014,Florida,130327
All Invasive Cancer Sites Combined,2014,Georgia,49251
All Invasive Cancer Sites Combined,2014,Hawaii,7061
All Invasive Cancer Sites Combined,2014,Idaho,8023
All Invasive Cancer Sites Combined,2014,Illinois,68468
All Invasive Cancer Sites Combined,2014,Indiana,35036
All Invasive Cancer Sites Combined,2014,Iowa,18190
All Invasive Cancer Sites Combined,2014,Kansas,14871
All Invasive Cancer Sites Combined,2014,Kentucky,27273
All Invasive Cancer Sites Combined,2014,Louisiana,25158
All Invasive Cancer Sites Combined,2014,Maine,8896
All Invasive Cancer Sites Combined,2014,Maryland,30683
All Invasive Cancer Sites Combined,2014,Massachusetts,37180
All Invasive Cancer Sites Combined,2014,Michigan,54749
All Invasive Cancer Sites Combined,2014,Minnesota,28869
All Invasive Cancer Sites Combined,2014,Mississippi,16184
All Invasive Cancer Sites Combined,2014,Missouri,32820
All Invasive Cancer Sites Combined,2014,Montana,5848
All Invasive Cancer Sites Combined,2014,Nebraska,9665
All Invasive Cancer Sites Combined,2014,Nevada,12624
All Invasive Cancer Sites Combined,2014,New Hampshire,8146
All Invasive Cancer Sites Combined,2014,New Jersey,51167
All Invasive Cancer Sites Combined,2014,New Mexico,9382
All Invasive Cancer Sites Combined,2014,New York,112313
All Invasive Cancer Sites Combined,2014,North Carolina,54750
All Invasive Cancer Sites Combined,2014,North Dakota,3722
All Invasive Cancer Sites Combined,2014,Ohio,65773
All Invasive Cancer Sites Combined,2014,Oklahoma,20079
All Invasive Cancer Sites Combined,2014,Oregon,21693
All Invasive Cancer Sites Combined,2014,Pennsylvania,79206
All Invasive Cancer Sites Combined,2014,Rhode Island,6436
All Invasive Cancer Sites Combined,2014,South Carolina,26761
All Invasive Cancer Sites Combined,2014,South Dakota,4664
All Invasive Cancer Sites Combined,2014,Tennessee,35416
All Invasive Cancer Sites Combined,2014,Texas,109560
All Invasive Cancer Sites Combined,2014,Utah,10233
All Invasive Cancer Sites Combined,2014,Vermont,3818
All Invasive Cancer Sites Combined,2014,Virginia,39832
All Invasive Cancer Sites Combined,2014,Washington,36125
All Invasive Cancer Sites Combined,2014,West Virginia,11742
All Invasive Cancer Sites Combined,2014,Wisconsin,32763
All Invasive Cancer Sites Combined,2014,Wyoming,2667
All Invasive Cancer Sites Combined,2015,Alabama,26800
All Invasive Cancer Sites Combined,2015,Alaska,2967
All Invasive Cancer Sites Combined,2015,Arizona,32362
All Invasive Cancer Sites Combined,2015,Arkansas,16512
All Invasive Cancer Sites Combined,2015,California,171767
All Invasive Cancer Sites Combined,2015,Colorado,23302
All Invasive Cancer Sites Combined,2015,Connecticut,21250
All Invasive Cancer Sites Combined,2015,Delaware,5999
All Invasive Cancer Sites Combined,2015,District of Columbia,2747
All Invasive Cancer Sites Combined,2015,Florida,134212
All Invasive Cancer Sites Combined,2015,Georgia,51035
All Invasive Cancer Sites Combined,2015,Hawaii,7273
All Invasive Cancer Sites Combined,2015,Idaho,8396
All Invasive Cancer Sites Combined,2015,Illinois,70011
All Invasive Cancer Sites Combined,2015,Indiana,36117
All Invasive Cancer Sites Combined,2015,Iowa,18485
All Invasive Cancer Sites Combined,2015,Kansas,15537
All Invasive Cancer Sites Combined,2015,Kentucky,27803
All Invasive Cancer Sites Combined,2015,Louisiana,25638
All Invasive Cancer Sites Combined,2015,Maine,8895
All Invasive Cancer Sites Combined,2015,Maryland,31654
All Invasive Cancer Sites Combined,2015,Massachusetts,38160
All Invasive Cancer Sites Combined,2015,Michigan,57027
All Invasive Cancer Sites Combined,2015,Minnesota,30761
All Invasive Cancer Sites Combined,2015,Mississippi,16369
All Invasive Cancer Sites Combined,2015,Missouri,33287
All Invasive Cancer Sites Combined,2015,Montana,6260
All Invasive Cancer Sites Combined,2015,Nebraska,10040
All Invasive Cancer Sites Combined,2015,Nevada,12558
All Invasive Cancer Sites Combined,2015,New Hampshire,8295
All Invasive Cancer Sites Combined,2015,New Jersey,52649
All Invasive Cancer Sites Combined,2015,New Mexico,9615
All Invasive Cancer Sites Combined,2015,New York,113929
All Invasive Cancer Sites Combined,2015,North Carolina,56781
All Invasive Cancer Sites Combined,2015,North Dakota,3846
All Invasive Cancer Sites Combined,2015,Ohio,68046
All Invasive Cancer Sites Combined,2015,Oklahoma,20647
All Invasive Cancer Sites Combined,2015,Oregon,22170
All Invasive Cancer Sites Combined,2015,Pennsylvania,80825
All Invasive Cancer Sites Combined,2015,Rhode Island,6367
All Invasive Cancer Sites Combined,2015,South Carolina,28297
All Invasive Cancer Sites Combined,2015,South Dakota,4566
All Invasive Cancer Sites Combined,2015,Tennessee,37359
All Invasive Cancer Sites Combined,2015,Texas,112522
All Invasive Cancer Sites Combined,2015,Utah,10645
All Invasive Cancer Sites Combined,2015,Vermont,3736
All Invasive Cancer Sites Combined,2015,Virginia,39909
All Invasive Cancer Sites Combined,2015,Washington,36280
All Invasive Cancer Sites Combined,2015,West Virginia,12046
All Invasive Cancer Sites Combined,2015,Wisconsin,33300
All Invasive Cancer Sites Combined,2015,Wyoming,2665
All Invasive Cancer Sites Combined,2016,Alabama,27564
All Invasive Cancer Sites Combined,2016,Alaska,3016
All Invasive Cancer Sites Combined,2016,Arizona,33007
All Invasive Cancer Sites Combined,2016,Arkansas,16625
All Invasive Cancer Sites Combined,2016,California,172851
All Invasive Cancer Sites Combined,2016,Colorado,23898
All Invasive Cancer Sites Combined,2016,Connecticut,21618
All Invasive Cancer Sites Combined,2016,Delaware,6125
All Invasive Cancer Sites Combined,2016,District of Columbia,2758
All Invasive Cancer Sites Combined,2016,Florida,136040
All Invasive Cancer Sites Combined,2016,Georgia,53030
All Invasive Cancer Sites Combined,2016,Hawaii,7506
All Invasive Cancer Sites Combined,2016,Idaho,8682
All Invasive Cancer Sites Combined,2016,Illinois,70649
All Invasive Cancer Sites Combined,2016,Indiana,36842
All Invasive Cancer Sites Combined,2016,Iowa,18878
All Invasive Cancer Sites Combined,2016,Kansas,15415
All Invasive Cancer Sites Combined,2016,Kentucky,27928
All Invasive Cancer Sites Combined,2016,Louisiana,25917
All Invasive Cancer Sites Combined,2016,Maine,9075
All Invasive Cancer Sites Combined,2016,Maryland,32007
All Invasive Cancer Sites Combined,2016,Massachusetts,39229
All Invasive Cancer Sites Combined,2016,Michigan,58660
All Invasive Cancer Sites Combined,2016,Minnesota,30519
All Invasive Cancer Sites Combined,2016,Mississippi,16852
All Invasive Cancer Sites Combined,2016,Missouri,33528
All Invasive Cancer Sites Combined,2016,Montana,6438
All Invasive Cancer Sites Combined,2016,Nebraska,10343
All Invasive Cancer Sites Combined,2016,Nevada,13637
All Invasive Cancer Sites Combined,2016,New Hampshire,8696
All Invasive Cancer Sites Combined,2016,New Jersey,53076
All Invasive Cancer Sites Combined,2016,New Mexico,9732
All Invasive Cancer Sites Combined,2016,New York,115139
All Invasive Cancer Sites Combined,2016,North Carolina,57523
All Invasive Cancer Sites Combined,2016,North Dakota,3877
All Invasive Cancer Sites Combined,2016,Ohio,68030
All Invasive Cancer Sites Combined,2016,Oklahoma,20554
All Invasive Cancer Sites Combined,2016,Oregon,22131
All Invasive Cancer Sites Combined,2016,Pennsylvania,81308
All Invasive Cancer Sites Combined,2016,Rhode Island,6369
All Invasive Cancer Sites Combined,2016,South Carolina,28265
All Invasive Cancer Sites Combined,2016,South Dakota,4821
All Invasive Cancer Sites Combined,2016,Tennessee,37881
All Invasive Cancer Sites Combined,2016,Texas,115448
All Invasive Cancer Sites Combined,2016,Utah,10744
All Invasive Cancer Sites Combined,2016,Vermont,3841
All Invasive Cancer Sites Combined,2016,Virginia,41233
All Invasive Cancer Sites Combined,2016,Washington,38150
All Invasive Cancer Sites Combined,2016,West Virginia,12056
All Invasive Cancer Sites Combined,2016,Wisconsin,34048
All Invasive Cancer Sites Combined,2016,Wyoming,2799
All Invasive Cancer Sites Combined,2017,Alabama,27440
All Invasive Cancer Sites Combined,2017,Alaska,3066
All Invasive Cancer Sites Combined,2017,Arizona,34067
All Invasive Cancer Sites Combined,2017,Arkansas,16945
All Invasive Cancer Sites Combined,2017,California,175825
All Invasive Cancer Sites Combined,2017,Colorado,24693
All Invasive Cancer Sites Combined,2017,Connecticut,21795
All Invasive Cancer Sites Combined,2017,Delaware,5828
All Invasive Cancer Sites Combined,2017,District of Columbia,2971
All Invasive Cancer Sites Combined,2017,Florida,135683
All Invasive Cancer Sites Combined,2017,Georgia,53805
All Invasive Cancer Sites Combined,2017,Hawaii,7678
All Invasive Cancer Sites Combined,2017,Idaho,9027
All Invasive Cancer Sites Combined,2017,Illinois,71310
All Invasive Cancer Sites Combined,2017,Indiana,37686
All Invasive Cancer Sites Combined,2017,Iowa,19249
All Invasive Cancer Sites Combined,2017,Kansas,15898
All Invasive Cancer Sites Combined,2017,Kentucky,28402
All Invasive Cancer Sites Combined,2017,Louisiana,26502
All Invasive Cancer Sites Combined,2017,Maine,9244
All Invasive Cancer Sites Combined,2017,Maryland,33071
All Invasive Cancer Sites Combined,2017,Massachusetts,39461
All Invasive Cancer Sites Combined,2017,Michigan,57968
All Invasive Cancer Sites Combined,2017,Minnesota,32411
All Invasive Cancer Sites Combined,2017,Mississippi,17112
All Invasive Cancer Sites Combined,2017,Missouri,35065
All Invasive Cancer Sites Combined,2017,Montana,6665
All Invasive Cancer Sites Combined,2017,Nebraska,10617
All Invasive Cancer Sites Combined,2017,Nevada,14662
All Invasive Cancer Sites Combined,2017,New Hampshire,8786
All Invasive Cancer Sites Combined,2017,New Jersey,54202
All Invasive Cancer Sites Combined,2017,New Mexico,9767
All Invasive Cancer Sites Combined,2017,New York,117388
All Invasive Cancer Sites Combined,2017,North Carolina,59270
All Invasive Cancer Sites Combined,2017,North Dakota,3990
All Invasive Cancer Sites Combined,2017,Ohio,69571
All Invasive Cancer Sites Combined,2017,Oklahoma,20398
All Invasive Cancer Sites Combined,2017,Oregon,23008
All Invasive Cancer Sites Combined,2017,Pennsylvania,81149
All Invasive Cancer Sites Combined,2017,Rhode Island,6454
All Invasive Cancer Sites Combined,2017,South Carolina,28479
All Invasive Cancer Sites Combined,2017,South Dakota,4867
All Invasive Cancer Sites Combined,2017,Tennessee,39364
All Invasive Cancer Sites Combined,2017,Texas,119805
All Invasive Cancer Sites Combined,2017,Utah,11188
All Invasive Cancer Sites Combined,2017,Vermont,4049
All Invasive Cancer Sites Combined,2017,Virginia,41567
All Invasive Cancer Sites Combined,2017,Washington,38564
All Invasive Cancer Sites Combined,2017,West Virginia,12526
All Invasive Cancer Sites Combined,2017,Wisconsin,34345
All Invasive Cancer Sites Combined,2017,Wyoming,2881
All Invasive Cancer Sites Combined,2018,Alabama,27507
All Invasive Cancer Sites Combined,2018,Alaska,3151
All Invasive Cancer Sites Combined,2018,Arizona,35490
All Invasive Cancer Sites Combined,2018,Arkansas,17643
All Invasive Cancer Sites Combined,2018,California,176520
All Invasive Cancer Sites Combined,2018,Colorado,25233
All Invasive Cancer Sites Combined,2018,Connecticut,21616
All Invasive Cancer Sites Combined,2018,Delaware,6142
All Invasive Cancer Sites Combined,2018,District of Columbia,2926
All Invasive Cancer Sites Combined,2018,Florida,141957
All Invasive Cancer Sites Combined,2018,Georgia,55236
All Invasive Cancer Sites Combined,2018,Hawaii,7666
All Invasive Cancer Sites Combined,2018,Idaho,9122
All Invasive Cancer Sites Combined,2018,Illinois,71620
All Invasive Cancer Sites Combined,2018,Indiana,37139
All Invasive Cancer Sites Combined,2018,Iowa,19541
All Invasive Cancer Sites Combined,2018,Kansas,15996
All Invasive Cancer Sites Combined,2018,Kentucky,28718
All Invasive Cancer Sites Combined,2018,Louisiana,27499
All Invasive Cancer Sites Combined,2018,Maine,9339
All Invasive Cancer Sites Combined,2018,Maryland,33459
All Invasive Cancer Sites Combined,2018,Massachusetts,38488
All Invasive Cancer Sites Combined,2018,Michigan,58213
All Invasive Cancer Sites Combined,2018,Minnesota,32983
All Invasive Cancer Sites Combined,2018,Mississippi,17462
All Invasive Cancer Sites Combined,2018,Missouri,34874
All Invasive Cancer Sites Combined,2018,Montana,6659
All Invasive Cancer Sites Combined,2018,Nebraska,10936
All Invasive Cancer Sites Combined,2018,Nevada,13767
All Invasive Cancer Sites Combined,2018,New Hampshire,8960
All Invasive Cancer Sites Combined,2018,New Jersey,54784
All Invasive Cancer Sites Combined,2018,New Mexico,9815
All Invasive Cancer Sites Combined,2018,New York,116785
All Invasive Cancer Sites Combined,2018,North Carolina,60332
All Invasive Cancer Sites Combined,2018,North Dakota,3958
All Invasive Cancer Sites Combined,2018,Ohio,71101
All Invasive Cancer Sites Combined,2018,Oklahoma,21053
All Invasive Cancer Sites Combined,2018,Oregon,22685
All Invasive Cancer Sites Combined,2018,Pennsylvania,81095
All Invasive Cancer Sites Combined,2018,Rhode Island,6612
All Invasive Cancer Sites Combined,2018,South Carolina,28699
All Invasive Cancer Sites Combined,2018,South Dakota,4970
All Invasive Cancer Sites Combined,2018,Tennessee,39068
All Invasive Cancer Sites Combined,2018,Texas,126647
All Invasive Cancer Sites Combined,2018,Utah,11782
All Invasive Cancer Sites Combined,2018,Vermont,4056
All Invasive Cancer Sites Combined,2018,Virginia,42320
All Invasive Cancer Sites Combined,2018,Washington,39204
All Invasive Cancer Sites Combined,2018,West Virginia,12581
All Invasive Cancer Sites Combined,2018,Wisconsin,34706
All Invasive Cancer Sites Combined,2018,Wyoming,2860
All Invasive Cancer Sites Combined,2019,Alabama,28038
All Invasive Cancer Sites Combined,2019,Alaska,3409
All Invasive Cancer Sites Combined,2019,Arizona,36268
All Invasive Cancer Sites Combined,2019,Arkansas,18266
All Invasive Cancer Sites Combined,2019,California,182909
